,Namn,Land,Pris(SEK),Literpris,Produktnummer,Förpackning,Volym(mml),Alkoholhalt(%),Sockerhalt(gram/l),passar_till,rawdata,rawdata1,Årgång,Doft,Färg,Råvaror,Smakbeskrivning,Lamm,Nöt,Fågel,Fläsk,Dessert,Vilt,Ost,nyanserad,komplex,fruktig,kryddig,fatkaraktär,utvecklad,bärig,fat,ungdomlig,Flaska,Box,Magnum,PET-flaska,Italien,Frankrike,Spanien,USA,Sydafrika,Australien,Argentina,Chile,Portugal,Nya Zeeland,Österrike
627,Runchet,Italien,329,"Jfr.pris 438,67 kr/l', 'Jfr.pris 438,67 kr/l",['95852'],Flaska 750 ml,750.0,13.5,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt', 'Vilt","Freisa.', 'Tät, mörk röd färg.', 'Nyanserad, kryddig, utvecklad doft med inslag av fat, körsbär, kaffe, torkade tranbär, örter, pomerans, stall och tobak.', 'Nyanserad, kryddig, utvecklad smak med inslag av fat, körsbär, hallon, svart te, apelsinskal, tobak, kakao och stall.', 'Kan lagras.', 'Serveras vid cirka 18°C till rätter av mörkt kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorFreisa.FärgTät, mörk röd färg.DoftNyanserad, kryddig, utvecklad doft med inslag av fat, körsbär, kaffe, torkade tranbär, örter, pomerans, stall och tobak.SmakbeskrivningNyanserad, kryddig, utvecklad smak med inslag av fat, körsbär, hallon, svart te, apelsinskal, tobak, kakao och stall.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid cirka 18°C till rätter av mörkt kött.LammNötViltAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2013'],"['Nyanserad, kryddig, utvecklad doft med inslag av fat, körsbär, kaffe, torkade tranbär, örter, pomerans, stall och tobak']","['Tät, mörk röd färg']",['Freisa'],"['nyanserad, kryddig, utvecklad smak med inslag av fat, körsbär, hallon, svart te, apelsinskal, tobak, kakao och stall']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,Masi Modello,Italien,79,"Jfr.pris 105,33 kr/l', 'Jfr.pris 105,33 kr/l",['2386'],Flaska 750 ml,750.0,12.0,['3'],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Fisk', 'Fågel', 'Fläsk', 'Grönsaker","Refosco och raboso samt övriga druvsorter.', 'Blåröd färg.', 'Ungdomlig, bärig doft med inslag av mörka körsbär, lakrits, skogshallon och viol.', 'Ungdomlig, bärig smak med inslag av mörka körsbär, skogshallon och lakrits.', 'Serveras vid cirka 16°C till vegetariska rätter, eller till rätter av stekt fisk eller ljust kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorRefosco och raboso samt övriga druvsorter.FärgBlåröd färg.DoftUngdomlig, bärig doft med inslag av mörka körsbär, lakrits, skogshallon och viol.SmakbeskrivningUngdomlig, bärig smak med inslag av mörka körsbär, skogshallon och lakrits.FyllighetFruktsyraSträvhetPassar tillServeras vid cirka 16°C till vegetariska rätter, eller till rätter av stekt fisk eller ljust kött.FiskFågelFläskGrönsakerAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2018'],"['Ungdomlig, bärig doft med inslag av mörka körsbär, lakrits, skogshallon och viol']",['Blåröd färg'],['Refosco och raboso samt övriga druvsorter'],"['ungdomlig, bärig smak med inslag av mörka körsbär, skogshallon och lakrits']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,Roda I,Spanien,449,"Jfr.pris 598,67 kr/l', 'Jfr.pris 598,67 kr/l",['95409'],Flaska 750 ml,750.0,14.5,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt', 'Vilt","96% tempranillo och 4% graciano.', 'Tät, mörk, rödblå färg.', 'Komplex, något utvecklad doft med tydlig fatkaraktär, inslag av mörka körsbär, choklad, fikon, tobak, plommon, kryddnejlika och vanilj.', 'Komplex, något utvecklad smak med tydlig fatkaraktär, inslag av mörka körsbär, kakao, fikon, tobak, plommon, kanel och vanilj.', 'Kan lagras.', 'Serveras vid cirka 18°C till rätter av mörkt kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","Råvaror96% tempranillo och 4% graciano.FärgTät, mörk, rödblå färg.DoftKomplex, något utvecklad doft med tydlig fatkaraktär, inslag av mörka körsbär, choklad, fikon, tobak, plommon, kryddnejlika och vanilj.SmakbeskrivningKomplex, något utvecklad smak med tydlig fatkaraktär, inslag av mörka körsbär, kakao, fikon, tobak, plommon, kanel och vanilj.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid cirka 18°C till rätter av mörkt kött.LammNötViltAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2012'],"['Komplex, något utvecklad doft med tydlig fatkaraktär, inslag av mörka körsbär, choklad, fikon, tobak, plommon, kryddnejlika och vanilj']","['Tät, mörk, rödblå färg']",['96% tempranillo och 4% graciano'],"['komplex, något utvecklad smak med tydlig fatkaraktär, inslag av mörka körsbär, kakao, fikon, tobak, plommon, kanel och vanilj']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,La Estrecha,Spanien,239,"Jfr.pris 318,67 kr/l', 'Jfr.pris 318,67 kr/l",['91902'],Flaska 750 ml,750.0,12.5,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Fläsk', 'Lamm","Bobal.', 'Rödblå färg.', 'Kryddig, nyanserad, något parfymerad doft med fatkaraktär, inslag av körsbär, oregano, jordgubbar, kanel, vanilj, pomerans och rosépeppar.', 'Kryddig, nyanserad smak med fatkaraktär, inslag av jordgubbar, muskot, körsbär, sandelträ, kaprifol, pomerans och lakrits.', 'Kan lagras.', 'Serveras vid 16-18°C till rätter av fläsk- och lammkött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorBobal.FärgRödblå färg.DoftKryddig, nyanserad, något parfymerad doft med fatkaraktär, inslag av körsbär, oregano, jordgubbar, kanel, vanilj, pomerans och rosépeppar.SmakbeskrivningKryddig, nyanserad smak med fatkaraktär, inslag av jordgubbar, muskot, körsbär, sandelträ, kaprifol, pomerans och lakrits.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid 16-18°C till rätter av fläsk- och lammkött.FläskLammAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2017'],"['Kryddig, nyanserad, något parfymerad doft med fatkaraktär, inslag av körsbär, oregano, jordgubbar, kanel, vanilj, pomerans och rosépeppar']",['Rödblå färg'],['Bobal'],"['kryddig, nyanserad smak med fatkaraktär, inslag av jordgubbar, muskot, körsbär, sandelträ, kaprifol, pomerans och lakrits']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,Papestar Red,USA,279,"Jfr.pris 372,00 kr/l', 'Jfr.pris 372,00 kr/l",['92471'],Flaska 750 ml,750.0,14.0,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Nöt', 'Lamm","45% grenache, 30% mourvèdre och 25% syrah.', 'Mörk, blåröd färg.', 'Nyanserad, fruktig doft med fatkaraktär, inslag av skogshallon, björnbär, färska örter, mjölkchoklad och viol.', 'Nyanserad, fruktig smak med fatkaraktär, inslag av skogshallon, blåbär, färska örter, kanel, peppar, svarta oliver och viol.', 'Kan lagras.', 'Serveras vid cirka 18°C till rätter av lamm- och nötkött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","Råvaror45% grenache, 30% mourvèdre och 25% syrah.FärgMörk, blåröd färg.DoftNyanserad, fruktig doft med fatkaraktär, inslag av skogshallon, björnbär, färska örter, mjölkchoklad och viol.SmakbeskrivningNyanserad, fruktig smak med fatkaraktär, inslag av skogshallon, blåbär, färska örter, kanel, peppar, svarta oliver och viol.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid cirka 18°C till rätter av lamm- och nötkött.NötLammAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2016'],"['Nyanserad, fruktig doft med fatkaraktär, inslag av skogshallon, björnbär, färska örter, mjölkchoklad och viol']","['Mörk, blåröd färg']","['45% grenache, 30% mourvèdre och 25% syrah']","['nyanserad, fruktig smak med fatkaraktär, inslag av skogshallon, blåbär, färska örter, kanel, peppar, svarta oliver och viol']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,Cortina,USA,389,"Jfr.pris 518,67 kr/l', 'Jfr.pris 518,67 kr/l",['92472'],Flaska 750 ml,750.0,15.0,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt', 'Vilt","Zinfandel.', 'Mörk, rödblå färg.', 'Mycket fruktig, nyanserad doft med rostad fatkaraktär, inslag av björnbär, mynta, choklad, plommon, tobak och vanilj.', 'Mycket fruktig, nyanserad smak med rostad fatkaraktär, inslag av björnbär, mynta, choklad, plommon, peppar, mogna jordgubbar och vanilj.', 'Kan lagras.', 'Serveras vid cirka 18°C till rätter av mörkt kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorZinfandel.FärgMörk, rödblå färg.DoftMycket fruktig, nyanserad doft med rostad fatkaraktär, inslag av björnbär, mynta, choklad, plommon, tobak och vanilj.SmakbeskrivningMycket fruktig, nyanserad smak med rostad fatkaraktär, inslag av björnbär, mynta, choklad, plommon, peppar, mogna jordgubbar och vanilj.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid cirka 18°C till rätter av mörkt kött.LammNötViltAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2016'],"['Mycket fruktig, nyanserad doft med rostad fatkaraktär, inslag av björnbär, mynta, choklad, plommon, tobak och vanilj']","['Mörk, rödblå färg']",['Zinfandel'],"['mycket fruktig, nyanserad smak med rostad fatkaraktär, inslag av björnbär, mynta, choklad, plommon, peppar, mogna jordgubbar och vanilj']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,Weingut Roterfaden,Tyskland,199,"Jfr.pris 265,33 kr/l', 'Jfr.pris 265,33 kr/l",['92481'],Flaska 750 ml,750.0,12.0,[],"Fyllighet', 'Fruktsyra', 'Strävhet","Lemberger.', 'Blålila färg.', 'Nyanserad doft med inslag av björnbär, lagerblad, körsbär, vitpeppar och blåbär.', 'Nyanserad smak med inslag av björnbär, lavendel, körsbär, lakritsrot, mineral och blåbär.', 'Serveras vid 16-18°C till rätter av ljust kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorLemberger.FärgBlålila färg.DoftNyanserad doft med inslag av björnbär, lagerblad, körsbär, vitpeppar och blåbär.SmakbeskrivningNyanserad smak med inslag av björnbär, lavendel, körsbär, lakritsrot, mineral och blåbär.FyllighetFruktsyraSträvhetPassar tillServeras vid 16-18°C till rätter av ljust kött.AllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2017'],"['Nyanserad doft med inslag av björnbär, lagerblad, körsbär, vitpeppar och blåbär']",['Blålila färg'],['Lemberger'],"['nyanserad smak med inslag av björnbär, lavendel, körsbär, lakritsrot, mineral och blåbär']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,Vega Sicilia,Spanien,22490,"Jfr.pris 7 496,67 kr/l', 'Jfr.pris 7 496,67 kr/l",['95298'],Flaska 3000 ml,3000.0,14.5,[],Null,Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,AllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,['2008'],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,Vega Sicilia Valbuena,Spanien,2695,"Jfr.pris 1 796,67 kr/l', 'Jfr.pris 1 796,67 kr/l",['95333'],Magnum 1500 ml,1500.0,14.0,[],Null,Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,AllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,['2014'],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
636,Macán Clásico,Spanien,349,"Jfr.pris 465,33 kr/l', 'Jfr.pris 465,33 kr/l",['95375'],Flaska 750 ml,750.0,14.5,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt', 'Vilt","Tät, mörk, blåröd färg.', 'Nyanserad, kryddig, något utvecklad doft med tydlig fatkaraktär, inslag av mörka körsbär, tobak, plommon, mjölkchoklad, kanel, fikon och vanilj.', 'Nyanserad, kryddig, något utvecklad smak med tydlig fatkaraktär, inslag av mörka körsbär, tobak, plommon, kakao, björnbär, kanel, fikon och vanilj.', 'Kan lagras.', 'Serveras vid cirka 18°C till rätter av mörkt kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","FärgTät, mörk, blåröd färg.DoftNyanserad, kryddig, något utvecklad doft med tydlig fatkaraktär, inslag av mörka körsbär, tobak, plommon, mjölkchoklad, kanel, fikon och vanilj.SmakbeskrivningNyanserad, kryddig, något utvecklad smak med tydlig fatkaraktär, inslag av mörka körsbär, tobak, plommon, kakao, björnbär, kanel, fikon och vanilj.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid cirka 18°C till rätter av mörkt kött.LammNötViltAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2015'],"['Nyanserad, kryddig, något utvecklad doft med tydlig fatkaraktär, inslag av mörka körsbär, tobak, plommon, mjölkchoklad, kanel, fikon och vanilj']","['Tät, mörk, blåröd färg']",[],"['nyanserad, kryddig, något utvecklad smak med tydlig fatkaraktär, inslag av mörka körsbär, tobak, plommon, kakao, björnbär, kanel, fikon och vanilj']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,Dominio del Aguila,Spanien,2399,"Jfr.pris 3 198,67 kr/l', 'Jfr.pris 3 198,67 kr/l",['90064'],Flaska 750 ml,750.0,14.0,[],Null,Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,AllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,['2015'],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638,Beaune Aigrots,Frankrike,439,"Jfr.pris 585,33 kr/l', 'Jfr.pris 585,33 kr/l",['90416'],Flaska 750 ml,750.0,13.0,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Fläsk', 'Fågel","Pinot noir.', 'Mörk, blåröd färg.', 'Komplex, kryddig doft med fatkaraktär, inslag av jordgubbar, sandelträ, rökig mineral, hallon, mjölkchoklad, plommon och färska örter.', 'Komplex, kryddig smak med fatkaraktär, inslag av jordgubbar, sandelträ, rökig mineral, mjölkchoklad, körsbär, pomerans och dragon.', 'Kan lagras.', 'Serveras vid cirka 16°C till feta vilda fåglar eller till rätter av fläsk- eller lammkött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorPinot noir.FärgMörk, blåröd färg.DoftKomplex, kryddig doft med fatkaraktär, inslag av jordgubbar, sandelträ, rökig mineral, hallon, mjölkchoklad, plommon och färska örter.SmakbeskrivningKomplex, kryddig smak med fatkaraktär, inslag av jordgubbar, sandelträ, rökig mineral, mjölkchoklad, körsbär, pomerans och dragon.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid cirka 16°C till feta vilda fåglar eller till rätter av fläsk- eller lammkött.LammFläskFågelAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2016'],"['Komplex, kryddig doft med fatkaraktär, inslag av jordgubbar, sandelträ, rökig mineral, hallon, mjölkchoklad, plommon och färska örter']","['Mörk, blåröd färg']",['Pinot noir'],"['komplex, kryddig smak med fatkaraktär, inslag av jordgubbar, sandelträ, rökig mineral, mjölkchoklad, körsbär, pomerans och dragon']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,Château Cantemerle,Frankrike,475,"Jfr.pris 633,33 kr/l', 'Jfr.pris 633,33 kr/l",['90618'],Flaska 750 ml,750.0,13.0,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt', 'Vilt","59% cabernet sauvignon, 27% merlot, 8% cabernet franc, 7% petit verdot.', 'Mörk, blåröd färg.', 'Komplex doft med fatkaraktär, inslag av svarta vinbär, ceder, mörka körsbär, choklad, örter, kaffe och vanilj.', 'Komplex smak med fatkaraktär, inslag av svarta vinbär, ceder, körsbär, kakao, färska örter, kaffe och vanilj.', 'Kan lagras.', 'Serveras vid 18°C till rätter av mörkt kött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","Råvaror59% cabernet sauvignon, 27% merlot, 8% cabernet franc, 7% petit verdot.FärgMörk, blåröd färg.DoftKomplex doft med fatkaraktär, inslag av svarta vinbär, ceder, mörka körsbär, choklad, örter, kaffe och vanilj.SmakbeskrivningKomplex smak med fatkaraktär, inslag av svarta vinbär, ceder, körsbär, kakao, färska örter, kaffe och vanilj.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid 18°C till rätter av mörkt kött.LammNötViltAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2015'],"['Komplex doft med fatkaraktär, inslag av svarta vinbär, ceder, mörka körsbär, choklad, örter, kaffe och vanilj']","['Mörk, blåröd färg']","['59% cabernet sauvignon, 27% merlot, 8% cabernet franc, 7% petit verdot']","['komplex smak med fatkaraktär, inslag av svarta vinbär, ceder, körsbär, kakao, färska örter, kaffe och vanilj']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,Foot of Africa,Sydafrika,79,"Jfr.pris 105,33 kr/l', 'Jfr.pris 105,33 kr/l",['2473'],Flaska 750 ml,750.0,14.5,['3'],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt","Cabernet sauvignon.', 'Mörk, blåröd färg.', 'Fruktig doft med fatkaraktär, inslag av svarta vinbär, mynta, plommon, choklad och grön paprika.', 'Mycket fruktig smak med fatkaraktär, inslag av svarta vinbär, mynta, plommon, choklad, blåbär och grön paprika.', 'Serveras vid 16-18°C till rätter av lamm- eller nötkött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorCabernet sauvignon.FärgMörk, blåröd färg.DoftFruktig doft med fatkaraktär, inslag av svarta vinbär, mynta, plommon, choklad och grön paprika.SmakbeskrivningMycket fruktig smak med fatkaraktär, inslag av svarta vinbär, mynta, plommon, choklad, blåbär och grön paprika.FyllighetFruktsyraSträvhetPassar tillServeras vid 16-18°C till rätter av lamm- eller nötkött.LammNötAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2017'],"['Fruktig doft med fatkaraktär, inslag av svarta vinbär, mynta, plommon, choklad och grön paprika']","['Mörk, blåröd färg']",['Cabernet sauvignon'],"['mycket fruktig smak med fatkaraktär, inslag av svarta vinbär, mynta, plommon, choklad, blåbär och grön paprika']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,"[""Sister's Run Old Testament Coonawarra""]",Australien,89,"Jfr.pris 118,67 kr/l', 'Jfr.pris 118,67 kr/l",['2971'],Flaska 750 ml,750.0,14.5,['3'],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Lamm', 'Nöt","Cabernet sauvignon.', 'Tät, mörk, blåröd färg.', 'Mycket fruktig doft med rostad fatkaraktär, inslag av svarta vinbär, plommon, ceder, choklad, kaffe och vanilj.', 'Mycket fruktig smak med rostad fatkaraktär, inslag av svarta vinbär, plommon, örter, choklad, körsbär, kaffe och vanilj.', 'Serveras vid 16-18°C till rätter av lamm- eller nötkött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorCabernet sauvignon.FärgTät, mörk, blåröd färg.DoftMycket fruktig doft med rostad fatkaraktär, inslag av svarta vinbär, plommon, ceder, choklad, kaffe och vanilj.SmakbeskrivningMycket fruktig smak med rostad fatkaraktär, inslag av svarta vinbär, plommon, örter, choklad, körsbär, kaffe och vanilj.FyllighetFruktsyraSträvhetPassar tillServeras vid 16-18°C till rätter av lamm- eller nötkött.LammNötAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2017'],"['Mycket fruktig doft med rostad fatkaraktär, inslag av svarta vinbär, plommon, ceder, choklad, kaffe och vanilj']","['Tät, mörk, blåröd färg']",['Cabernet sauvignon'],"['mycket fruktig smak med rostad fatkaraktär, inslag av svarta vinbär, plommon, örter, choklad, körsbär, kaffe och vanilj']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642,Chambertin Clos de Bèze Grand Cru,Frankrike,2575,"Jfr.pris 3 433,33 kr/l', 'Jfr.pris 3 433,33 kr/l",['92061'],Flaska 750 ml,750.0,13.5,[],Null,Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,AllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,['2017'],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643,Clos Vougeot Grand Cru,Frankrike,1475,"Jfr.pris 1 966,67 kr/l', 'Jfr.pris 1 966,67 kr/l",['92232'],Flaska 750 ml,750.0,14.0,[],Null,"Domaine Gros Frère et Soeur', 'Vinitor AB', 'Ingår i vårt sortiment för Webblansering.', '31/10 - 2019', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",Null,['2017'],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,Hautes Côtes de Nuits,Frankrike,279,"Jfr.pris 372,00 kr/l', 'Jfr.pris 372,00 kr/l",['32204'],Flaska 750 ml,750.0,13.0,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Fågel', 'Fläsk', 'Lamm","Pinot noir.', 'Rödblå färg.', 'Nyanserad, kryddig doft med fatkaraktär, inslag av mogna jordgubbar, lagerblad, muskot, lingon, choklad, dragon och skogshallon.', 'Nyanserad, kryddig smak med fatkaraktär, inslag av mogna jordgubbar, lagerblad, muskot, lingon, dragon, kanel och hallon.', 'Kan lagras.', 'Serveras vid cirka 16°C till rätter av feta eller vilda fåglar, samt till rätter av fläsk- eller lammkött.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorPinot noir.FärgRödblå färg.DoftNyanserad, kryddig doft med fatkaraktär, inslag av mogna jordgubbar, lagerblad, muskot, lingon, choklad, dragon och skogshallon.SmakbeskrivningNyanserad, kryddig smak med fatkaraktär, inslag av mogna jordgubbar, lagerblad, muskot, lingon, dragon, kanel och hallon.FyllighetFruktsyraSträvhetOm lagringKan lagras.Passar tillServeras vid cirka 16°C till rätter av feta eller vilda fåglar, samt till rätter av fläsk- eller lammkött.FågelFläskLammAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2017'],"['Nyanserad, kryddig doft med fatkaraktär, inslag av mogna jordgubbar, lagerblad, muskot, lingon, choklad, dragon och skogshallon']",['Rödblå färg'],['Pinot noir'],"['nyanserad, kryddig smak med fatkaraktär, inslag av mogna jordgubbar, lagerblad, muskot, lingon, dragon, kanel och hallon']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,Gevrey-Chambertin,Frankrike,419,"Jfr.pris 558,67 kr/l', 'Jfr.pris 558,67 kr/l",['90562'],Flaska 750 ml,750.0,13.0,[],Null,Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,AllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss,['2017'],[],[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,Fleurie Clos Vernay,Frankrike,339,"Jfr.pris 452,00 kr/l', 'Jfr.pris 452,00 kr/l",['92494'],Flaska 750 ml,750.0,12.5,[],"Fyllighet', 'Fruktsyra', 'Strävhet', 'Fisk', 'Fågel', 'Fläsk","Gamay.', 'Blålila färg.', 'Nyanserad, bärig doft med inslag av fat, blåbär, lakrits, skogshallon, lavendel och örter.', 'Nyanserad, bärig smak med inslag av fat, blåbär, lakrits, skogshallon, lavendel, smultron, mineral och örter.', 'Serveras vid 14-16°C till rätter av ljust kött eller stekt fisk.', 'Har du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss","RåvarorGamay.FärgBlålila färg.DoftNyanserad, bärig doft med inslag av fat, blåbär, lakrits, skogshallon, lavendel och örter.SmakbeskrivningNyanserad, bärig smak med inslag av fat, blåbär, lakrits, skogshallon, lavendel, smultron, mineral och örter.FyllighetFruktsyraSträvhetPassar tillServeras vid 14-16°C till rätter av ljust kött eller stekt fisk.FiskFågelFläskAllergenerHar du frågor om allergener? Chatta med oss.Har du frågor om allergener? Chatta med oss",['2017'],"['Nyanserad, bärig doft med inslag av fat, blåbär, lakrits, skogshallon, lavendel och örter']",['Blålila färg'],['Gamay'],"['nyanserad, bärig smak med inslag av fat, blåbär, lakrits, skogshallon, lavendel, smultron, mineral och örter']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
